,Name,min1,index1,min2,index2,min3,index3,min4,index4,min5,index5,min6,index6,max,max_index,maxAi,maxA,maxAw,scan_number,maxA0i,maxA0,maxA0w,maxBi,maxB,maxBw,maxCi,maxC,maxCw,Int_A,Int_C,Int_N_A,Unnamed: 0
10,ASW_2020_09_16_11,-0.01301805,6636,-0.002501873,4197,-0.002378689,4120,0.004643965999999999,2367,0.005297601,2279,0.01080409,459,0.3858679,5083,5085,0.3921971410098401,3251.446,11,5083.0,0.3858679,3250.482,2959,0.011822422265830006,2226.45,1754,0.02290436871153846,1645.49,107.9808531265757,8.037064857259141,112.58199067197536,
11,ASW_2020_09_16_12,-0.01211257,6636,-0.002023854,4149,-0.001986463,4130,0.005264962,2415,0.005871025,2279,0.01098096,476,0.3909879000000001,5085,5085,0.3968087134595899,3251.446,12,5085.0,0.3909879000000001,3251.446,2959,0.011693088466472304,2226.45,1754,0.02069996715474209,1645.49,108.38690555305887,8.033410458286308,113.00534526834116,
12,ASW_2020_09_16_13,-0.01189996,6636,-0.001360348,4151,-0.0013406339999999998,4132,0.005724804,2367,0.006299364,2279,0.01090592,447,0.3982116,5083,5083,0.4035248326615694,3250.482,13,5083.0,0.3982116,3250.482,2980,0.012005974665155806,2236.575,1771,0.021517322218340608,1653.686,109.27661113177929,8.503723089299621,113.93296180649692,
13,ASW_2020_09_16_14,-0.01167346,6636,-0.001157007,4151,-0.001114615,4130,0.005912422,2415,0.006503664,2279,0.01120737,447,0.4003407,5083,5083,0.40544190587162976,3250.482,14,5083.0,0.4003407,3250.482,2959,0.011885422331195336,2226.45,1771,0.021516203244541485,1653.686,109.5022636237221,8.477687047233776,114.16822950449469,
14,ASW_2020_09_16_15,-0.01164479,6636,-0.001250676,4149,-0.00122611,4139,0.006021517,2415,0.006722996,2279,0.01183351,459,0.3969422,5083,5083,0.40209641539525537,3250.482,15,5083.0,0.3969422,3250.482,2966,0.011713214947215776,2229.825,1699,0.02033889865934066,1618.973,109.37849214768896,8.007280494829237,114.03918404174203,
15,ASW_2020_09_16_16,-0.01133766,6636,-0.0009049833,4168,-0.0009014222,4139,0.006207148000000001,2415,0.006851594,2279,0.01238157,459,0.4009633,5076,5076,0.4057065614376013,3247.107,16,5076.0,0.4009633,3247.107,2964,0.012078034018445477,2228.861,1769,0.02018891734065934,1652.7220000000002,109.83862467507386,8.093852227312237,114.51892312886696,
16,ASW_2020_09_16_17,-0.01124371,6636,-0.000820955,4149,-0.0008065447999999999,4139,0.00633041,2415,0.006958413,2279,0.01246147,459,0.402738,5076,5076,0.4074439143425814,3247.107,17,5076.0,0.402738,3247.107,2964,0.012165760965893271,2228.861,1769,0.02021342157692308,1652.7220000000002,110.04189260845823,8.142567679524689,114.73085244705177,
17,ASW_2020_09_16_18,-0.0113323,6636,-0.0009888235,4149,-0.001024884,4130,0.006761545999999999,2480,0.007737806,2281,0.01274204,474,0.3986987,5075,5075,0.4035387736966224,3246.625,18,5075.0,0.3986987,3246.625,2957,0.011663320127272728,2225.486,1754,0.02137724114001107,1645.49,109.76342020528395,7.47648254781857,114.44051414550349,
18,ASW_2020_09_16_19,-0.01087164,6636,-0.000881548,4158,-0.0009138571,4130,0.006529958000000001,2480,0.008113495,2275,0.01241413,474,0.4003214000000001,5075,5076,0.4049005779661016,3247.107,19,5075.0,0.4003214000000001,3246.625,2978,0.011855130739272723,2235.61,1697,0.021481320102720712,1618.009,109.66624462537224,7.5699955371785075,114.33919784808224,
19,ASW_2020_09_16_20,-0.01080928,6636,-0.0009097032,4149,-0.0009421218,4130,0.006548814,2480,0.008184651,2275,0.01250132,474,0.4014767,5074,5074,0.4060683929627664,3246.143,20,5074.0,0.4014767,3246.143,2978,0.011965546623272729,2235.61,1697,0.021457418265963358,1618.009,109.73847346970749,7.560005864558409,114.41450441256771,
